event_id,event_name,event_type,mode,department,registrations,event_date,day_of_week,is_weekend,duration_hours,speaker_rating,reminder_sent,past_attendance_rate,weather,ticket_price,location_capacity,actual_attendance
1,Event_1,Workshop,Online,Finance,270,2022-08-17,Wednesday,0,1.5,1.4,0,0.71,Clear,0,253,189
2,Event_2,Cultural,Hybrid,Engineering,594,2022-07-23,Saturday,1,5.9,3.8,1,0.45,Stormy,55.64,36,442
3,Event_3,Summit,Offline,Finance,179,2022-08-09,Tuesday,0,7.7,2.3,0,0.57,Rainy,169.5,648,83
4,Event_4,Conference,Hybrid,Leadership,569,2022-05-08,Sunday,1,7.8,2.5,1,0.88,Stormy,177.09,400,544
5,Event_5,Webinar,Hybrid,Marketing,66,2023-11-09,Thursday,0,2.2,2.2,0,0.9,Clear,76.03,494,67
6,Event_6,Training,Online,Operations,383,2022-08-03,Wednesday,0,5.5,3.8,0,0.73,Cloudy,106.83,280,276
7,Event_7,Sports,Offline,Finance,590,2022-08-13,Saturday,1,5.6,4.4,0,0.46,Clear,161.01,440,439
8,Event_8,Workshop,Online,Operations,237,2023-11-03,Friday,0,4.2,4.5,1,0.4,Cloudy,0,604,121
9,Event_9,Meetup,Hybrid,Design,428,2023-01-06,Friday,0,2.1,5.0,1,0.36,Clear,172.22,186,201
10,Event_10,Seminar,Hybrid,Design,85,2023-01-30,Monday,0,3.4,5.0,1,0.98,Clear,136.06,147,85
11,Event_11,Cultural,Offline,Operations,134,2022-10-28,Friday,0,3.8,2.8,1,0.98,Cloudy,0,138,132
12,Event_12,Meetup,Hybrid,Sales,176,2023-01-18,Wednesday,0,6.2,3.2,0,0.72,Snowy,3.9,401,125
13,Event_13,Webinar,Online,Sales,600,2022-03-22,Tuesday,0,1.1,2.9,0,0.98,Stormy,0,161,575
14,Event_14,Sports,Hybrid,HR,291,2023-06-25,Sunday,1,7.0,2.7,0,0.95,Cloudy,142.59,438,281
15,Event_15,Training,Offline,Leadership,143,2022-09-11,Sunday,1,2.2,2.4,0,0.71,Clear,0,676,110
16,Event_16,Webinar,Online,Engineering,358,2022-03-14,Monday,0,4.4,2.1,1,0.45,Cloudy,0,614,218
17,Event_17,Sports,Online,Leadership,436,2022-07-14,Thursday,0,1.2,3.6,1,0.6,Snowy,0,85,353
18,Event_18,Workshop,Online,Design,367,2024-03-30,Saturday,1,7.0,2.0,0,0.68,Cloudy,84.38,315,288
