user_id,event_type,mode,department,past_user_attendance_rate,days_before_registration,reminder_sent,day_of_week,is_weekend,attended
1,Workshop,Online,Operations,0.92,6,1,Sunday,1,1
2,Seminar,Offline,Finance,0.91,29,0,Thursday,0,1
3,Sports,Hybrid,Sales,0.51,3,0,Sunday,1,1
4,Meetup,Hybrid,Finance,0.19,17,0,Tuesday,0,0
5,Conference,Online,Design,0.96,56,1,Wednesday,0,1
6,Sports,Hybrid,Operations,0.13,16,1,Wednesday,0,1
7,Meetup,Hybrid,Design,0.89,37,1,Friday,0,1
8,Summit,Offline,Sales,0.49,12,1,Sunday,1,1
9,Training,Offline,Sales,0.43,41,1,Tuesday,0,0
10,Workshop,Online,Leadership,0.83,13,0,Thursday,0,1
11,Summit,Offline,Operations,0.55,45,0,Sunday,1,0
12,Conference,Online,Operations,0.75,5,0,Monday,0,0
13,Summit,Hybrid,Finance,0.3,14,1,Monday,0,1
14,Meetup,Offline,Design,0.59,58,1,Tuesday,0,0
15,Seminar,Offline,Design,0.8,33,0,Saturday,1,1
16,Workshop,Offline,Design,0.76,39,1,Sunday,1,1
17,Workshop,Hybrid,HR,0.7,42,1,Friday,0,0
18,Training,Online,Engineering,0.62,37,1,Saturday,1,1
19,Cultural,Offline,Sales,0.75,2,1,Monday,0,1
20,Conference,Hybrid,Engineering,0.54,60,0,Wednesday,0,1
21,Training,Hybrid,Sales,0.63,16,1,Wednesday,0,1
22,Cultural,Online,HR,0.6,22,1,Wednesday,0,1
23,Summit,Hybrid,HR,0.71,44,1,Saturday,1,1
24,Training,Offline,Design,0.99,52,0,Sunday,1,1
25,Webinar,Online,Sales,0.92,52,1,Wednesday,0,1
26,Conference,Offline,Marketing,0.32,27,0,Thursday,0,1
27,Seminar,Hybrid,Operations,0.86,39,1,Sunday,1,1
28,Workshop,Offline,HR,0.8,16,0,Sunday,1,0
29,Sports,Hybrid,Operations,0.99,14,1,Friday,0,1
30,Conference,Online,Design,0.3,4,1,Friday,0,0
31,Webinar,Hybrid,Marketing,0.88,26,0,Thursday,0,1
32,Summit,Offline,Operations,0.41,42,0,Saturday,1,1
33,Webinar,Offline,Leadership,0.95,18,0,Saturday,1,1
34,Seminar,Offline,Engineering,0.39,42,1,Saturday,1,1
35,Seminar,Online,Sales,0.41,4,0,Monday,0,1
36,Meetup,Offline,Finance,0.39,36,1,Friday,0,0
37,Seminar,Hybrid,HR,0.4,59,0,Sunday,1,0
38,Summit,Offline,Engineering,0.7,56,0,Tuesday,0,1
39,Sports,Hybrid,Leadership,0.6,18,1,Thursday,0,1
40,Seminar,Offline,Finance,0.97,16,0,Sunday,1,1
41,Meetup,Hybrid,Design,0.76,18,1,Saturday,1,1
42,Conference,Online,Design,0.72,31,0,Saturday,1,1
43,Cultural,Offline,Marketing,0.97,56,0,Friday,0,1
44,Sports,Hybrid,Leadership,0.1,53,0,Friday,0,1
45,Workshop,Online,Operations,0.95,36,0,Saturday,1,1
